security,forecast_periods,mse,tu,mase,mape,rmse_return,nrmse_return,accuracy,precision,recall,fscore
OXY,5,5.056011751478506,1.0580399840277823,1.0286376566868014,3.079859212340986,4.399258029743397,1.537317341239724,0.489191353082466,0.4944802207911684,0.8586261980830671,0.6275539988324577
OXY,10,9.947054047530171,1.097739140872836,1.0369869139724743,4.37230991366291,5.9085590614802195,1.4760758014121236,0.506629168340699,0.507673164661966,0.967588932806324,0.6659412404787812
OXY,30,28.382579422403698,1.1939385137027287,1.0974758737768031,7.61341124839075,9.44614271858139,1.4331381570973298,0.4745209947003669,0.4748877092690894,0.997427101200686,0.6434301521438449
OXY,60,59.219297439030434,1.3356239285153144,1.1226238151056496,11.060864722403977,13.0261842883685,1.4055240011503385,0.4981195152528207,0.49748953974895394,1.0,0.6644314054205085
PEP,1,0.6796477068700412,1.0087386514782353,1.0076772114762662,0.672840627596852,0.9287202814806028,1.3919874678013031,0.5044141252006421,0.5235131396957123,0.5809669992325402,0.550745725718443
PEP,5,2.8682787705723527,1.0018463188135525,0.992132024662738,1.4446383527189897,1.9063447118922252,1.3070401987509892,0.5580929487179487,0.5844086021505376,0.7671136203246295,0.6634116570033567
PEP,10,5.6931620182434886,1.004282148359243,0.9881408803111916,2.039615534094843,2.629574842800222,1.2706784012447527,0.5572519083969466,0.588150289017341,0.8317438692098093,0.6890519187358917
PEP,30,15.18954166438456,0.9507417598907544,0.9625129110028628,3.5129762811412744,4.395508548661817,1.1889404778934134,0.6266829865361077,0.6327800829875518,0.9807073954983924,0.7692307692307692
PEP,60,25.50027180214572,0.8717038687304454,0.9401371381880794,4.548922786919447,5.873936525971026,1.1786849969687443,0.6824070204763895,0.6838790931989924,0.9957212713936432,0.8108511697361872
PFE,1,0.10452046303795368,1.0171267959612145,1.004235558912362,0.8516734608777485,1.184411792324383,1.3952985907083957,0.5048504446240906,0.5151745068285281,0.5367588932806324,0.5257452574525745
PFE,5,0.5213013872806441,1.0212547134100052,1.0132898622172108,1.92869992334849,2.607801028602281,1.368256410064839,0.5074566706972995,0.5558982266769468,0.5274323335771763,0.5412912912912913
PFE,10,0.9632605276279854,1.021097915119218,1.01392307073404,2.7419037499702688,3.5583933697594303,1.3211393599453278,0.4655935613682092,0.573126142595978,0.4213709677419355,0.4856700232378002
PFE,30,2.6654873690155547,1.0326687124067344,1.0167737681325062,4.649375883214515,6.028632465473856,1.3044658660172272,0.4724826742763962,0.5910184442662391,0.4845496383957922,0.5325144508670521
PFE,60,5.130561295556776,1.0391739947231682,1.0300674944821502,6.735503687214448,8.870497854965077,1.3031192073879116,0.4586120401337793,0.6221910112359551,0.5392574558734023,0.5777632865992827
PG,1,0.5948345500517827,1.0067362141097655,1.0069691152093352,0.6882639172128658,0.9803529141910332,1.440312148548648,0.5182804339092005,0.5346801346801346,0.6098310291858678,0.5697883028345889
PG,5,2.32680028739785,0.9693337971697658,0.9883436515214542,1.49550709724371,2.0113927826382465,1.3325380623743892,0.5404971932638332,0.572557876905703,0.7227369921596579,0.6389413988657846
PG,10,4.068867432693349,0.9814674636727241,0.9827250156031562,2.1158668685289306,2.7505870330953788,1.276445338448637,0.5612203934162987,0.5980551053484603,0.7603021978021978,0.6694889628061687
PG,30,11.573636771657116,0.9186397755425668,0.9488738504225076,3.688526913310752,4.691844151458984,1.2046991120663522,0.6227569331158238,0.6281302170283807,0.9779077322936972,0.7649301143583227
PG,60,23.539738476742283,0.8650590734294971,0.9112152027563978,5.148006893414067,6.534957229455388,1.1396976118264224,0.691182615963226,0.6923398911678527,0.9975874547647768,0.817395601680257
PM,1,1.0940792682489295,1.009228253003259,1.0089920187799897,0.8878957064655703,1.3047069187781588,1.4863715091659548,0.5006675567423231,0.5173572228443449,0.5930680359435173,0.5526315789473684
PM,5,6.074647165813652,1.0252664270242644,0.9933857001085546,2.118596652709368,3.0358349677709557,1.4396131819653648,0.5559276624246483,0.5785656728444802,0.8368298368298368,0.6841353025250119
PM,10,12.932747566702973,1.0462331928962627,1.0082887437963959,3.202571459616636,4.41583254035178,1.4134817997418454,0.5598923283983849,0.5766917293233083,0.8939393939393939,0.7010968921389396
PM,30,40.51687109880528,1.0712118326362046,1.0369164624285572,6.022706579337107,7.949541425999127,1.3710626839964315,0.5190311418685121,0.5238774055595153,0.9645669291338582,0.6789838337182448
PM,60,74.63989699446242,1.1634714536751831,1.0423876551672733,7.809399897305975,10.365758988228157,1.382821718823992,0.5822510822510822,0.5822510822510822,1.0,0.7359781121751026
PYPL,1,3.5568781879193625,1.0676130930475054,1.0342424059142428,1.4593610259173566,2.0268288549260998,1.4439606557468374,0.5069204152249135,0.5491803278688525,0.6261682242990654,0.5851528384279476
